order_id,product_id,product_name,kategori,quantity,total_harga,tanggal_order,kota,channel,status,customer_email,harga_satuan
ORD-10106,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-05-05 00:00:00,Malang,Website,Shipped,customer42@email.com,65000
ORD-10057,P009,Kahf Edt Revered Oud,Fragrance,1,149000,2024-05-13 00:00:00,Makassar,Mobile_App,Pending,customer1@email.com,149000
ORD-10039,P009,Kahf Edt Revered Oud,Fragrance,4,596000,2024-02-07 00:00:00,Bandung,Website,Pending,customer8@email.com,149000
ORD-10026,P008,Kahf Hair Tonic,Hair Care,3,126000,2024-05-09 00:00:00,Bandung,Marketplace,Pending,customer46@email.com,42000
ORD-10064,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-06-23 00:00:00,Denpasar,Mobile_App,Cancelled,customer44@email.com,25000
ORD-10004,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-05-11 20:17:00,Malang,Mobile_App,Completed,customer43@email.com,149000
ORD-10043,P004,Kahf Acne Spot Solution Serum,Face Care,4,232000,2024-07-18 00:00:00,Denpasar,Mobile_App,Cancelled,customer34@email.com,58000
ORD-10072,P010,Kahf Edt Humbling Forest,Fragrance,1,149000,2024-07-28 00:00:00,Makassar,Website,Completed,customer49@email.com,149000
ORD-10017,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,3,102000,2024-07-24 00:00:00,Yogyakarta,Marketplace,Pending,customer22@email.com,34000
ORD-10123,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,4,136000,2024-06-02 00:00:00,Makassar,Website,Cancelled,customer50@email.com,34000
ORD-10083,P010,Kahf Edt Humbling Forest,Fragrance,5,745000,2024-05-14 00:00:00,Bandung,Website,Cancelled,,149000
ORD-10006,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-05-27 00:00:00,Solo,Mobile_App,Pending,,34000
ORD-10029,P003,Kahf Hydro Balance Moisturizer,Face Care,4,180000,2024-06-04 00:00:00,Bandung,Mobile_App,Shipped,,45000
ORD-10025,P004,Kahf Acne Spot Solution Serum,Face Care,4,232000,2024-05-28 07:37:00,Semarang,Website,Cancelled,customer13@email.com,58000
ORD-10098,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-06-22 00:00:00,Malang,Website,Shipped,customer22@email.com,58000
ORD-10002,P003,Kahf Hydro Balance Moisturizer,Face Care,1,45000,2024-05-06 14:41:00,Yogyakarta,Website,Shipped,customer41@email.com,45000
ORD-10065,P004,Kahf Acne Spot Solution Serum,Face Care,5,290000,2024-07-19 00:00:00,Makassar,Website,Cancelled,customer33@email.com,58000
ORD-10087,P008,Kahf Hair Tonic,Hair Care,3,126000,2024-07-17 00:00:00,Malang,Mobile_App,Cancelled,customer27@email.com,42000
ORD-10085,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,5,325000,2024-07-24 00:00:00,Solo,Marketplace,Shipped,customer22@email.com,65000
ORD-10016,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-08-05 00:00:00,Bandung,Mobile_App,Cancelled,customer16@email.com,58000
ORD-10090,P010,Kahf Edt Humbling Forest,Fragrance,2,298000,2024-07-27 00:00:00,Solo,Marketplace,Pending,customer13@email.com,149000
ORD-10009,P003,Kahf Hydro Balance Moisturizer,Face Care,4,180000,2024-06-23 00:00:00,Jakarta,Website,Completed,,45000
ORD-10121,P003,Kahf Hydro Balance Moisturizer,Face Care,1,45000,2024-06-29 00:59:00,Solo,Website,Shipped,,45000
ORD-10082,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,1,65000,2024-07-22 00:00:00,Bandung,Marketplace,Shipped,customer20@email.com,65000
ORD-10092,P008,Kahf Hair Tonic,Hair Care,1,42000,2024-07-25 21:29:00,Surabaya,Marketplace,Shipped,customer7@email.com,42000
ORD-10099,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,3,195000,2024-05-14 06:32:00,Semarang,Marketplace,Cancelled,customer29@email.com,65000
ORD-10020,P006,Kahf Hair & Body Wash,Body Care,3,114000,2024-06-23 00:00:00,Solo,Marketplace,Pending,customer5@email.com,38000
ORD-10124,P010,Kahf Edt Humbling Forest,Fragrance,5,745000,2024-05-07 05:20:00,Bandung,Marketplace,Pending,customer46@email.com,149000
ORD-10093,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-05-02 00:00:00,Yogyakarta,Mobile_App,Pending,customer30@email.com,25000
ORD-10014,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-06-02 00:00:00,Malang,Marketplace,Pending,,25000
ORD-10035,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,5,325000,2024-06-24 00:00:00,Bandung,Mobile_App,Cancelled,customer5@email.com,65000
ORD-10094,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-07-25 00:00:00,Makassar,Website,Pending,customer36@email.com,149000
ORD-10112,P010,Kahf Edt Humbling Forest,Fragrance,1,149000,2024-05-17 00:00:00,Denpasar,Marketplace,Completed,,149000
ORD-10066,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-05-26 00:00:00,Jakarta,Mobile_App,Completed,customer42@email.com,65000
ORD-10034,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,3,195000,2024-06-14 00:00:00,Jakarta,Mobile_App,Pending,customer2@email.com,65000
ORD-10086,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-07-06 00:00:00,Jakarta,Website,Shipped,customer34@email.com,58000
ORD-10067,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-07-09 00:00:00,Surabaya,Mobile_App,Cancelled,,25000
ORD-10003,P009,Kahf Edt Revered Oud,Fragrance,1,149000,2024-07-16 00:00:00,Solo,Marketplace,Cancelled,customer16@email.com,149000
ORD-10078,P003,Kahf Hydro Balance Moisturizer,Face Care,1,45000,2024-05-29 16:21:00,Solo,Mobile_App,Completed,customer16@email.com,45000
ORD-10047,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,68000,2024-05-15 00:00:00,Denpasar,Marketplace,Pending,customer24@email.com,34000
ORD-10036,P008,Kahf Hair Tonic,Hair Care,1,42000,2024-07-26 15:37:00,Surabaya,Marketplace,Completed,customer34@email.com,42000
ORD-10105,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-05-19 03:36:00,Malang,Mobile_App,Cancelled,customer3@email.com,25000
ORD-10010,P001,Kahf Oil & Acne Care Facial Wash,Face Care,2,64000,2024-07-22 00:00:00,Jakarta,Website,Pending,customer39@email.com,32000
ORD-10103,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-07-16 00:00:00,Surabaya,Mobile_App,Completed,customer22@email.com,149000
ORD-10050,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-07-16 00:00:00,Jakarta,Mobile_App,Shipped,customer14@email.com,25000
ORD-10070,P003,Kahf Hydro Balance Moisturizer,Face Care,3,135000,2024-06-24 00:00:00,Yogyakarta,Marketplace,Completed,customer12@email.com,45000
ORD-10096,P003,Kahf Hydro Balance Moisturizer,Face Care,1,45000,2024-05-24 00:00:00,Malang,Marketplace,Shipped,customer12@email.com,45000
ORD-10088,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,1,65000,2024-06-07 00:00:00,Bandung,Website,Shipped,customer18@email.com,65000
ORD-10100,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-07-05 00:00:00,Yogyakarta,Website,Cancelled,customer33@email.com,65000
ORD-10081,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-06-11 00:00:00,Malang,Website,Completed,customer11@email.com,58000
ORD-10063,P001,Kahf Oil & Acne Care Facial Wash,Face Care,4,128000,2024-06-15 00:00:00,Surabaya,Marketplace,Cancelled,customer4@email.com,32000
ORD-10058,P009,Kahf Edt Revered Oud,Fragrance,1,149000,2024-10-07 00:00:00,Malang,Marketplace,Pending,customer5@email.com,149000
ORD-10061,P003,Kahf Hydro Balance Moisturizer,Face Care,4,180000,2024-06-20 00:00:00,Yogyakarta,Marketplace,Cancelled,customer21@email.com,45000
ORD-10040,P007,Kahf Deodorant Roll On,Body Care,4,100000,2024-06-13 15:33:00,Semarang,Website,Pending,customer9@email.com,25000
ORD-10113,P004,Kahf Acne Spot Solution Serum,Face Care,2,116000,2024-06-27 04:22:00,Yogyakarta,Marketplace,Completed,customer29@email.com,58000
ORD-10077,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,68000,2024-05-11 00:00:00,Surabaya,Marketplace,Shipped,,34000
ORD-10104,P004,Kahf Acne Spot Solution Serum,Face Care,3,174000,2024-05-10 01:25:00,Bandung,Website,Completed,customer36@email.com,58000
ORD-10127,P007,Kahf Deodorant Roll On,Body Care,2,50000,2024-07-16 01:20:00,Malang,Mobile_App,Cancelled,customer43@email.com,25000
ORD-10027,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-07-03 00:00:00,Yogyakarta,Mobile_App,Shipped,customer34@email.com,65000
ORD-10062,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-06-07 00:00:00,Solo,Website,Shipped,customer3@email.com,25000
ORD-10021,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-07-21 00:00:00,Makassar,Mobile_App,Completed,,25000
ORD-10071,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-06-29 00:00:00,Jakarta,Mobile_App,Cancelled,customer44@email.com,34000
ORD-10024,P010,Kahf Edt Humbling Forest,Fragrance,2,298000,2024-07-24 15:57:00,Medan,Marketplace,Completed,customer22@email.com,149000
ORD-10032,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,4,136000,2024-06-27 06:40:00,Jakarta,Website,Completed,customer9@email.com,34000
ORD-10045,P004,Kahf Acne Spot Solution Serum,Face Care,2,116000,2024-05-18 00:00:00,Bandung,Marketplace,Completed,customer7@email.com,58000
ORD-10054,P003,Kahf Hydro Balance Moisturizer,Face Care,1,45000,2024-05-02 00:00:00,Yogyakarta,Website,Completed,customer7@email.com,45000
ORD-10109,P010,Kahf Edt Humbling Forest,Fragrance,4,596000,2024-09-06 00:00:00,Medan,Marketplace,Cancelled,customer49@email.com,149000
ORD-10007,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-06-04 00:00:00,Surabaya,Mobile_App,Shipped,customer44@email.com,25000
ORD-10101,P010,Kahf Edt Humbling Forest,Fragrance,1,149000,2024-05-18 00:00:00,Solo,Marketplace,Completed,customer6@email.com,149000
ORD-10110,P009,Kahf Edt Revered Oud,Fragrance,4,596000,2024-07-07 00:00:00,Denpasar,Mobile_App,Pending,customer7@email.com,149000
ORD-10049,P003,Kahf Hydro Balance Moisturizer,Face Care,2,90000,2024-05-08 00:00:00,Solo,Marketplace,Completed,,45000
ORD-10028,P001,Kahf Oil & Acne Care Facial Wash,Face Care,2,64000,2024-07-30 00:00:00,Yogyakarta,Mobile_App,Shipped,,32000
ORD-10108,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-07-06 13:57:00,Jakarta,Marketplace,Completed,customer34@email.com,34000
ORD-10051,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-06-21 00:00:00,Yogyakarta,Marketplace,Shipped,customer24@email.com,58000
ORD-10118,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,3,195000,2024-07-15 00:00:00,Makassar,Mobile_App,Cancelled,customer8@email.com,65000
ORD-10060,P008,Kahf Hair Tonic,Hair Care,2,84000,2024-07-06 00:00:00,Jakarta,Website,Shipped,customer46@email.com,42000
ORD-10023,P001,Kahf Oil & Acne Care Facial Wash,Face Care,2,64000,2024-07-18 08:57:00,Jakarta,Mobile_App,Cancelled,,32000
ORD-10119,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,1,65000,2024-05-10 16:04:00,Denpasar,Marketplace,Completed,,65000
ORD-10076,P008,Kahf Hair Tonic,Hair Care,2,84000,2024-07-09 00:00:00,Yogyakarta,Marketplace,Pending,customer4@email.com,42000
ORD-10114,P001,Kahf Oil & Acne Care Facial Wash,Face Care,5,160000,2024-05-19 06:12:00,Makassar,Marketplace,Cancelled,customer32@email.com,32000
ORD-10111,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-06-17 18:51:00,Bandung,Mobile_App,Pending,customer43@email.com,58000
ORD-10117,P003,Kahf Hydro Balance Moisturizer,Face Care,2,90000,2024-05-26 00:00:00,Bandung,Website,Completed,customer45@email.com,45000
ORD-10089,P004,Kahf Acne Spot Solution Serum,Face Care,1,58000,2024-04-06 00:00:00,Solo,Marketplace,Shipped,,58000
ORD-10073,P006,Kahf Hair & Body Wash,Body Care,3,114000,2024-07-12 00:00:00,Solo,Mobile_App,Pending,customer29@email.com,38000
ORD-10044,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-05-30 00:00:00,Bandung,Website,Completed,customer9@email.com,149000
ORD-10095,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,3,102000,2024-07-21 00:00:00,Solo,Marketplace,Shipped,customer31@email.com,34000
ORD-10008,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-05-08 15:11:00,Denpasar,Marketplace,Cancelled,customer1@email.com,25000
ORD-10084,P010,Kahf Edt Humbling Forest,Fragrance,5,745000,2024-06-05 05:58:00,Makassar,Website,Pending,customer12@email.com,149000
ORD-10075,P007,Kahf Deodorant Roll On,Body Care,4,100000,2024-06-19 00:00:00,Yogyakarta,Website,Shipped,customer24@email.com,25000
ORD-10052,P006,Kahf Hair & Body Wash,Body Care,1,38000,2024-06-21 00:00:00,Denpasar,Mobile_App,Completed,customer41@email.com,38000
ORD-10042,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,3,195000,2024-05-14 23:37:00,Surabaya,Website,Completed,customer32@email.com,65000
ORD-10011,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,1,65000,2024-06-19 00:00:00,Surabaya,Website,Cancelled,customer19@email.com,65000
ORD-10056,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,4,136000,2024-07-18 00:00:00,Medan,Marketplace,Pending,,34000
